VariableCode,RegionCode,YearCode,AggValue
cn,ARE,2004,1815872.25
cn,ARE,2005,1909510.5
cn,ARE,2006,2014161.125
cn,ARE,2007,2174954.5
cn,ARE,2008,2332290.25
cn,ARE,2009,2493885.75
cn,ARE,2010,2619715
cn,ARE,2011,2741501.75
cn,ARE,2012,2612142.75
cn,ARE,2013,2564190.25
cn,ARE,2014,3567263.25
cn,ARE,2015,4088713.75
cn,ARE,2016,4157003.5
cn,ARE,2017,4287270.5
cn,ARE,2018,4396408.5
cn,ARE,2019,4510359.5
cn,ARG,1950,59449.36719
cn,ARG,1951,65330.94141
cn,ARG,1952,69985.5625
cn,ARG,1953,74549.84375
cn,ARG,1954,78962.32031
cn,ARG,1955,83983.25
cn,ARG,1956,88195.98438
cn,ARG,1957,91419.375
cn,ARG,1958,96986.04688
cn,ARG,1959,100411.3672
cn,ARG,1960,107962.9609
cn,ARG,1961,116128.4688
cn,ARG,1962,122319.6875
cn,ARG,1963,126199.75
cn,ARG,1964,132449.8125
cn,ARG,1965,138598.125
cn,ARG,1966,144098.4688
cn,ARG,1967,149583.0625
cn,ARG,1968,155984
cn,ARG,1969,165282.2656
cn,ARG,1970,175525.125
cn,ARG,1971,186537.1563
cn,ARG,1972,196171.4219
cn,ARG,1973,204491.2813
cn,ARG,1974,213876.8281
cn,ARG,1975,222502.5625
cn,ARG,1976,229548.1094
cn,ARG,1977,242399.9531
cn,ARG,1978,251840.1406
cn,ARG,1979,264545.25
cn,ARG,1980,277379.25
cn,ARG,1981,288231.9688
cn,ARG,1982,300059.4688
cn,ARG,1983,315382.4063
cn,ARG,1984,336801.4688
cn,ARG,1985,363683.5
cn,ARG,1986,400195.2188
cn,ARG,1987,450024.75
cn,ARG,1988,514488.9063
cn,ARG,1989,593162.75
cn,ARG,1990,688641.75
cn,ARG,1991,820000.5625
cn,ARG,1992,1005502.375
cn,ARG,1993,1246331.5
cn,ARG,1994,1529539.875
cn,ARG,1995,1785510.25
cn,ARG,1996,1927902.375
cn,ARG,1997,1980085.875
cn,ARG,1998,2011836
cn,ARG,1999,1998675.375
cn,ARG,2000,1958924.125
cn,ARG,2001,1908897.625
cn,ARG,2002,1804633.125
cn,ARG,2003,1784050.25
cn,ARG,2004,1797717.625
cn,ARG,2005,1847660
cn,ARG,2006,1943604.5
cn,ARG,2007,2122918.25
cn,ARG,2008,2376898.25
cn,ARG,2009,2614003.75
cn,ARG,2010,2876207.25
cn,ARG,2011,3099233.75
cn,ARG,2012,3156028.75
cn,ARG,2013,3166597.5
cn,ARG,2014,3204576.5
cn,ARG,2015,3234959.75
cn,ARG,2016,3183677.75
cn,ARG,2017,3316644.25
cn,ARG,2018,3361086.5
cn,ARG,2019,3374818.5
cn,ARM,1990,58440.26563
cn,ARM,1991,60260.03516
cn,ARM,1992,59635.79297
cn,ARM,1993,58694.56641
cn,ARM,1994,58528.97266
cn,ARM,1995,58139.16797
cn,ARM,1996,57963.1875
cn,ARM,1997,57377.79688
cn,ARM,1998,56175.67188
cn,ARM,1999,54096.86328
cn,ARM,2000,51764.67578
cn,ARM,2001,49573.98047
cn,ARM,2002,48076.30859
cn,ARM,2003,47382.79688
cn,ARM,2004,47319.32031
cn,ARM,2005,48414.00781
cn,ARM,2006,50119.38672
cn,ARM,2007,51722.70703
cn,ARM,2008,53598.26953
cn,ARM,2009,53848.50781
cn,ARM,2010,54532.48828
cn,ARM,2011,55731.41797
cn,ARM,2012,61172.03906
cn,ARM,2013,66889.35156
cn,ARM,2014,94606.44531
cn,ARM,2015,80520.22656
