Row,CO2,All_impact_calib_m,All_impact_calib_ci,N_calib_m,N_calib_ci,W_calib_m,W_calib_ci,HS_calib_m,HS_calib_ci,All_impact_expert_m,All_impact_expert_ci,N_expert_m,N_expert_ci,W_expert_m,W_expert_ci,HS_expert_m,HS_expert_ci
"Tonga",1.124908598,104.300909996377,4.17513697121493,59.1799436153633,0.256890226657903,65.7618336676661,0.513171119592629,187.9609527061,0.857131460419309,257.624028728198,10.8878681350748,146.77705209472,2.26027739571475,185.400861232845,4.06372373798868,440.694172857029,6.70307328395702
"Réunion",1.016467673,89.3121126781662,4.70356235217048,50.5976992927999,0.284487288342079,56.5866380351952,0.56836821782805,160.752000706504,0.9490118137382,231.026908866553,12.1447452761799,131.563777619651,2.50564010818481,166.64039568497,4.50511965922237,394.876553295039,7.4294455937137
"Saint Pierre and Miquelon",0.999624370000001,112.342361025186,4.15017331344259,64.0569809612424,0.186551412915138,69.7821204306481,0.375350649621057,203.187981683669,0.621294609169148,232.652921154047,8.35578417437378,132.80072486051,1.66624377654197,166.425320133671,2.98838948270381,398.732718467959,4.90419445323558
"Turks and Caicos Islands",0.955873109,68.5523200851882,3.99975281425631,38.5763498867537,0.318059563623693,44.3287388446644,0.630893799159372,122.751871524147,1.06189452955229,213.352443611181,12.7988440237702,121.299157545488,2.75933571265957,154.938477032904,4.96073370125903,363.81969625515,8.21391869947818
"Micronesia (Federated States of)",0.934731054,72.7271724815401,4.12874117590782,41.0429438375994,0.274422523327947,46.6067336821868,0.547480535890585,130.531839924834,0.915848146611568,210.912191571521,11.5390613731965,119.987481948966,2.40870934844122,152.583162086155,4.33257192297951,360.165930679441,7.15267577962999
"Anguilla",0.863159544,65.3693861046727,3.59894483551681,36.8566105724519,0.259644512090076,42.0142428002047,0.516364212192974,117.237304941362,0.866642608053503,194.060160292425,10.6965306445687,110.376929916098,2.2652218307541,140.572178026559,4.07340811271659,331.231372934617,6.73509336662474
"Marshall Islands",0.85177544,64.5938578529958,3.62266949538654,36.4210813405118,0.256030936555431,41.5090806686186,0.509584461298308,115.851411549857,0.854568461624132,191.541085428102,10.5928940658684,108.945341559056,2.23691678283901,138.735497588263,4.02269344023608,326.942417136987,6.64875600655736
"Sao Tome and Principe",0.843423165000001,78.0423267764003,3.10359191428668,44.2783755704918,0.197404691166244,49.2206372071274,0.39341095242664,140.627967551582,0.658670891774782,192.873913539075,8.24111687435301,109.884358853267,1.72900770288023,138.876329074141,3.10724097108744,329.861052689816,5.1306660620636
"Kiribati",0.537798948,52.6965704872683,2.10736114263263,29.9449473925446,0.118360236694219,33.0764153656139,0.236447837575296,95.0683487036466,0.394713794619249,123.664631232815,5.04159758604292,70.4906341294088,1.04197671205117,88.8697254627086,1.8714172669604,211.633534106327,3.08502225729351
"Cook Islands",0.523843334,48.3730597063965,2.1401667932883,27.4433462001387,0.122520849852916,30.5080901558586,0.245058727335032,87.1677427631921,0.408665260606778,120.074852242213,5.24649304380722,68.4079753757897,1.08082442168413,86.4010655750029,1.94224469481372,205.415515775847,3.20073283071133
"Montserrat",0.419237855,40.0354447840344,1.6423775513674,22.7343984826251,0.0934322431242399,25.1773878817928,0.186838557636947,72.1945479876851,0.311590594372707,96.4427930372605,4.01885568423534,54.9613033863714,0.824413364341239,69.3072966554988,1.48147324810071,165.059779069911,2.44124600671194
"French Guiana",0.231350667,21.0046522011933,1.08816219326022,11.9111893227642,0.0637732871308132,13.2727505933919,0.127252955661043,37.8300166874236,0.212691980272264,52.5606120279269,2.69912971183738,29.9407616171132,0.560351741128112,37.910143911105,1.00663793112693,89.8309305555625,1.66048806444771
"Wallis and Futuna Islands",0.124310702,8.67850203949495,0.605814038303959,4.87875679411609,0.0456474757844037,5.62864815601964,0.0906799579174842,15.5281011683491,0.15237617365233,27.6907926643014,1.86773126585125,15.739987536161,0.397409053930978,20.1229760658012,0.714684569325637,47.2094143909421,1.18240416367543
"Saint Helena",0.0960891960000001,8.18575465844688,0.40015064692843,4.63301150806641,0.024378697604777,5.19912394263941,0.0487532702650292,14.7251285246348,0.0813362853924159,21.8961944298788,1.04358191342307,12.4659206539808,0.215022264463158,15.7876818408502,0.386704891406548,37.4349807948055,0.63753340941396
"Tuvalu",0.072133158,5.66430961415307,0.310055667132629,3.19758566438052,0.0207615059551993,3.62662205505772,0.0413953994404687,10.168721123021,0.0692884524442549,16.288539667891,0.869862662136251,9.26720279589251,0.182027411453567,11.7810032645174,0.327374207842207,27.8174129432631,0.540597238533126
"Niue",0.0720887720000001,6.93181176777249,0.301978720764384,3.93700855332087,0.016261236300225,4.3564832858699,0.0326070255205034,12.5019434641267,0.0542243013495555,16.6043534466104,0.708836093924768,9.46320980778867,0.144180309815494,11.9277278701095,0.25908886722342,28.4221226619329,0.426382342136378
