Row,Mean_calibrated,CI_calib,Mean_expert,CI_expert
"Uzbekistan",5725.28845801622,212.419568521573,12067.1211432054,434.531268420783
"Egypt",1445.17189372745,58.1514060340807,3683.98491172281,163.443928417453
"Malaysia",3816.77561426841,174.427207199304,10514.9792394983,516.082177154015
"North Korea",NaN,NaN,NaN,NaN
"Pakistan",527.705450418785,21.7772136202057,1367.04131237514,62.0139237684971
"Belarus",15415.7302140573,646.704058813857,30972.631347129,1182.81048040587
"United Arab Emirates",10657.4770843311,473.80264062447,28765.0277471011,1388.7858720889
"Algeria",2556.17912234551,104.311180533802,6317.60300919977,266.844475302266
"Hungary",14256.0799598862,546.725482335842,27538.0689852293,972.330071953474
"Iraq",2629.58000303347,105.981580993672,6626.9326071755,294.53392865824
"Sweden",13656.616972654,532.145533405422,25766.0214581697,905.762299732341
"Greece",9967.28495307831,394.550940109686,23337.1108256548,938.136415016214
"Austria",12816.103524898,464.951158042358,26603.6347700987,937.643227262144
"Nigeria",485.000096632027,20.0227140636265,1168.89257249237,49.3548258444591
"Bulgaria",16572.1877990104,668.246388843543,33049.0858227941,1226.70125166974
"Denmark",18962.4734766829,714.214219551857,37313.4767771128,1312.33171463293
"Viet Nam",768.618780485094,34.4878253388938,2080.78480405532,106.315909484173
"Colombia",1787.84371894887,65.8586209535511,4025.28942202938,152.431514739197
"Philippines",752.994746089223,28.9560012743385,1821.58180082031,75.5839874246095
"Slovakia",18282.8439140188,693.34457413238,35278.5503349222,1234.55818433499
"Finland",16116.6262058374,611.453044591846,34434.0678739591,1268.25435546154
"Kuwait",16818.2712307838,666.886760973938,41125.7369679057,1741.54260609011
"Serbia",10948.1182359912,415.854983508419,23313.9322145483,858.572801717639
"Chile",3653.46530144734,134.374018111363,8511.90640008215,338.448094253488
"Switzerland",9115.31782471382,339.335445990479,18626.6496743621,657.883478997258
"Turkmenistan",12223.1228475586,449.219000234231,26774.9804373266,996.048653440662
"Portugal",6104.08086242533,235.460617215668,14228.8819201123,567.444097736073
"Azerbaijan",7131.25688908939,292.21070508274,14652.856452673,552.751618466714
"Israel",7039.32851245939,273.506500498349,16992.1693026531,697.335065245189
"Norway",11831.92751921,432.764562853883,25491.5546490878,925.053100511761
"Singapore",9602.1718771104,397.178539880522,22685.9443295849,934.32956365285
"Libya",NaN,NaN,NaN,NaN
"Qatar",15615.5523697564,703.000372545653,42780.9801992618,2149.91815028169
"Ireland",11578.8189743746,420.928822668969,25310.8674572459,932.879506497502
"Syria",NaN,NaN,NaN,NaN
"Morocco",1118.5523597275,44.6350529725371,2823.88940365291,122.970933145379
"Peru",1389.7813395297,52.1945051864653,3193.43509047145,125.189985841626
"Cuba",NaN,NaN,NaN,NaN
"New Zealand",9542.20768326591,342.705137322683,20876.9907234265,765.66223505102
"Hong Kong",5408.47290000988,216.49285501506,13152.5913392549,543.544186802181
"Estonia",34685.3407512103,1369.37616954798,67808.5749167151,2483.38675845071
"Bangladesh",186.934442232384,8.57050611053985,520.18284367757,26.5394347935058
"Trinidad and Tobago",23886.6809238945,940.223698572694,58504.4597784985,2476.32323922277
"Lithuania",15320.0231447902,619.316533058527,29427.7956991796,1102.22766633603
"Oman",5053.20807529135,245.875086849869,14456.7757427547,766.967663268328
"Ecuador",1615.28107049124,66.5904160585634,4062.41005204395,175.759497360625
"Croatia",7235.06813570315,272.869177986624,15663.0805836765,580.002595253019
"Georgia",8378.14908312018,363.268483317018,15299.2209869976,617.794084272489
"Moldova",7538.79314727318,348.957921833141,14041.908685992,600.439382616083
"Tunisia",1837.89692076551,72.8369680780879,4554.6199308365,192.145835009723
"Bosnia and Herzegovina",7257.85576852275,292.272602854959,16011.7014487149,623.895378615399
"Bahrain",12573.7717607976,518.065238544281,32163.2928991648,1427.06826936937
"Slovenia",11161.9340912921,419.768915607763,24213.0552253885,895.063202917162
"Luxembourg",41479.0355588778,1583.78361184641,78105.9932901302,2679.47214929505
"Kyrgyzstan",3872.79396752506,173.611758909527,7474.95415407596,304.478993926022
"Dominican Republic",1634.60345146456,66.7503021554884,4107.35994332868,176.986488669544
"Latvia",12061.5576043482,482.516087840109,23301.2186005092,864.3316834091
"Lebanon",2534.5623519708,97.4237584439065,6192.63341566441,260.429688849891
"Angola",490.007653231916,22.4968318546862,1345.44905647804,69.7636522332235
"Zimbabwe",1426.72260052909,53.3555867941167,2938.49218224083,106.847583705445
"Jordan",1546.84100239708,66.0731222176131,4047.08247951274,183.241792881104
"Mongolia",4712.93635179632,209.20804878478,12245.4235626123,634.070489001224
"Armenia",7492.67700694692,324.833626279353,13712.6623026405,553.70766894992
"Yemen",566.584444147567,22.3201536462766,1350.61792132205,57.2138060285517
"North Macedonia",8287.6620560723,337.011203168363,17493.9204318613,666.972493328024
"Bolivia",1218.67657853496,46.8165266082484,2870.64997183414,119.621150912593
"Myanmar",235.813672659506,8.95310060612952,564.73483291627,24.0418496517482
"Sri Lanka",547.672855487053,20.9984721040946,1343.60679815387,58.7553043419181
