Row,All_impact_calib_m,All_impact_calib_ci,N_calib_m,N_calib_ci,W_calib_m,W_calib_ci,HS_calib_m,HS_calib_ci,All_impact_expert_m,All_impact_expert_ci,N_expert_m,N_expert_ci,W_expert_m,W_expert_ci,HS_expert_m,HS_expert_ci
"Kazakhstan",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"Turkey",0.137359744497556,0.00911896135901779,0.0788832037125174,0.000264363824509874,0.0834668438508402,0.00054005637698168,0.24972918592931,0.000875443478691986,1.00718972749667,0.0653205165253782,0.577531064475168,0.00130855723842395,0.710890863497004,0.0214567927228617,1.73314725451783,0.00433330053004531
"Netherlands",0.271730878157301,0.0168590185532449,0.156086001086498,0.000477202251076742,0.165011757725284,0.000974630185376486,0.494094875660122,0.0015792796921473,2.05726080477677,0.123612465449177,1.17992625702229,0.00247438857753226,1.45175922360799,0.0405272951697434,3.54009693370004,0.00818887928998791
"Czech Republic",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"Taiwan",0.493302768036694,0.0336285219365802,0.283271419671025,0.000979420230064214,0.299824931486737,0.00200091918080497,0.896811952952319,0.00324374519961384,3.29849518719875,0.219527311517146,1.89122736438359,0.00439809346112381,2.3282787527313,0.0721336546905637,5.67597944448135,0.0145660607306815
"Belgium",0.566133384824882,0.0337561742506332,0.325279270450354,0.000924262230842876,0.343542535669017,0.00188697733219932,1.02957834835527,0.00305597844515841,4.24285283675657,0.241168737290448,2.43412008946863,0.00482341183225547,2.99340618327818,0.0788624079103237,7.30103223752292,0.0159481174277266
"Romania",2.27873273686099,0.149343638012432,1.30866920168787,0.00430355786545885,1.38457209276264,0.00879125729708155,4.14295691613246,0.0142492007034825,16.5317226014878,1.05411806496315,9.47965700474677,0.0211095262252402,11.6679578132039,0.346058737005336,28.4475529865128,0.0698942329445832
"Argentina",0.317744691791759,0.0195067011500965,0.182525417221298,0.000548898268223788,0.192929330202876,0.00112099194256248,0.577779327951103,0.00181626313579713,2.39901088609167,0.142233809547253,1.37600072478832,0.00284662611916795,1.69285421010214,0.0466102202128974,4.12817772338454,0.00941927198708902
"Venezuela",5.77027334594246,0.344619478100109,3.31559485768823,0.00934613994464287,3.50091536991379,0.0190790289168994,10.4943098102254,0.0308933147019049,45.0452748315935,2.55130421369335,25.8441822476914,0.0510111693977496,31.7783107293899,0.833589455185124,77.5133315176992,0.168615505315663
"Thailand",0.218984895462277,0.0168892134071171,0.12571244555174,0.000500228650792995,0.133203774767441,0.00102209718338817,0.39803846606765,0.00165740020432347,1.4968445938418,0.112543658231708,0.857990310205541,0.00225603622887036,1.05681905051644,0.0370291064972618,2.57572442080342,0.00747489153362832
