,1,2,3,4,5,6
138,10886.27117,8413.370175,9195.914023,11795.1121,9209.040003,8463.12037
139,10903.21915,8416.670178,9203.215876,11817.75264,9216.411633,8466.66527
140,10919.7117,8419.87782,9210.316173,11839.79263,9223.579826,8470.111043
141,10935.76034,8422.995652,9217.220323,11861.24685,9230.550041,8473.460425
142,10951.37638,8426.026155,9223.933602,11882.12978,9237.327598,8476.716073
143,10966.57084,8428.971746,9230.461149,11902.4556,9243.917683,8479.880576
144,10981.35451,8431.834774,9236.807973,11922.2382,9250.32535,8482.956452
145,10995.73796,8434.617526,9242.978956,11941.49119,9256.555525,8485.946153
146,11009.73147,8437.322229,9248.978854,11960.22786,9262.613006,8488.852064
147,11023.34513,8439.951046,9254.812301,11978.46125,9268.502469,8491.676504
148,11036.58878,8442.506083,9260.483813,11996.20408,9274.228471,8494.421732
149,11049.47203,8444.989391,9265.997787,12013.46884,9279.795449,8497.089945
150,11062.00426,8447.402961,9271.358508,12030.26769,9285.207725,8499.683279
151,11074.19464,8449.748734,9276.570147,12046.61257,9290.469512,8502.203814
152,11086.05212,8452.028595,9281.63677,12062.51511,9295.584909,8504.653572
153,11097.58543,8454.24438,9286.562334,12077.98669,9300.557911,8507.034522
154,11108.80311,8456.397872,9291.350693,12093.03845,9305.392408,8509.348577
155,11119.71347,8458.490808,9296.0056,12107.68125,9310.092185,8511.597599
156,11130.32463,8460.524877,9300.530708,12121.9257,9314.660932,8513.783399
157,11140.64452,8462.501719,9304.929577,12135.78217,9319.102238,8515.907738
158,11150.68086,8464.422933,9309.205669,12149.26079,9323.4196,8517.972331
159,11160.44119,8466.290071,9313.362356,12162.37144,9327.61642,8519.978843
160,11169.93286,8468.104644,9317.40292,12175.12378,9331.69601,8521.928895
161,11179.16304,8469.868121,9321.330557,12187.52721,9335.661596,8523.824063
162,11188.13872,8471.581931,9325.148377,12199.59093,9339.516317,8525.665881
163,11196.86671,8473.247462,9328.859405,12211.32392,9343.263227,8527.455838
164,11205.35367,8474.866066,9332.466589,12222.73492,9346.905299,8529.195385
165,11213.60607,8476.439056,9335.972794,12233.83248,9350.445427,8530.885931
166,11221.63021,8477.96771,9339.380811,12244.62491,9353.886428,8532.528848
167,11229.43226,8479.453268,9342.693355,12255.12035,9357.231041,8534.125467
168,11237.01821,8480.89694,9345.913067,12265.32671,9360.481933,8535.677087
169,11244.3939,8482.299899,9349.042518,12275.25172,9363.641698,8537.184967
170,11251.56502,8483.663286,9352.084209,12284.90291,9366.712862,8538.650332
171,11258.53712,8484.988212,9355.040574,12294.28762,9369.697879,8540.074375
172,11265.31561,8486.275757,9357.913979,12303.41301,9372.599141,8541.458253
173,11271.90573,8487.526968,9360.706728,12312.28606,9375.418972,8542.803094
174,11278.31263,8488.742867,9363.421063,12320.91356,9378.159634,8544.109993
175,11284.54129,8489.924445,9366.059161,12329.30214,9380.823327,8545.380014
176,11290.59657,8491.072666,9368.623145,12337.45825,9383.412192,8546.614194
177,11296.48322,8492.188468,9371.115076,12345.3882,9385.928311,8547.813538
178,11302.20584,8493.272762,9373.536961,12353.0981,9388.373709,8548.979024
179,11307.76891,8494.326433,9375.890751,12360.59393,9390.750356,8550.111606
180,11313.17682,8495.350343,9378.178344,12367.88151,9393.060168,8551.212206
181,11318.43382,8496.34533,9380.401587,12374.96649,9395.305008,8552.281725
182,11323.54404,8497.312206,9382.562274,12381.85441,9397.48669,8553.321036
183,11328.51153,8498.251763,9384.662153,12388.55063,9399.606976,8554.330989
184,11333.34021,8499.16477,9386.70292,12395.06038,9401.66758,8555.312409
185,11338.0339,8500.051974,9388.686229,12401.38877,9403.67017,8556.266101
186,11342.59632,8500.914103,9390.613684,12407.54076,9405.616367,8557.192844
187,11347.03109,8501.751861,9392.486848,12413.52117,9407.507748,8558.093397
188,11351.34174,8502.565937,9394.307239,12419.33472,9409.345846,8558.968498
189,11355.53168,8503.356997,9396.076335,12424.98598,9411.132152,8559.818862
190,11359.60426,8504.12569,9397.795571,12430.47941,9412.868117,8560.645188
191,11363.56273,8504.872646,9399.466344,12435.81935,9414.555149,8561.448153
192,11367.41024,8505.598478,9401.090012,12441.01003,9416.19462,8562.228414
193,11371.14987,8506.303782,9402.667894,12446.05555,9417.787862,8562.986612
194,11374.7846,8506.989137,9404.201276,12450.95992,9419.336172,8563.723369
195,11378.31735,8507.655105,9405.691404,12455.72704,9420.840809,8564.43929
196,11381.75095,8508.302234,9407.139492,12460.36069,9422.302999,8565.134961
197,11385.08816,8508.931055,9408.54672,12464.86456,9423.723933,8565.810954
198,11388.33164,8509.542084,9409.914235,12469.24224,9425.104769,8566.467825
199,11391.48401,8510.135824,9411.243153,12473.49723,9426.446632,8567.106112
200,11394.5478,8510.712764,9412.534557,12477.63292,9427.750618,8567.726341
201,11397.52548,8511.273376,9413.789501,12481.65261,9429.017791,8568.32902
202,11400.41944,8511.818122,9415.00901,12485.55954,9430.249184,8568.914646
203,11403.23203,8512.347451,9416.19408,12489.35682,9431.445805,8569.483699
204,11405.9655,8512.861797,9417.34568,12493.0475,9432.608629,8570.036648
205,11408.62207,8513.361584,9418.464751,12496.63454,9433.738609,8570.573947
206,11411.20388,8513.847223,9419.552208,12500.12082,9434.836668,8571.096038
207,11413.71302,8514.319114,9420.60894,12503.50916,9435.903704,8571.603352
208,11416.15152,8514.777646,9421.635813,12506.80226,9436.94059,8572.096304
209,11418.52136,8515.223195,9422.633667,12510.00279,9437.948174,8572.575302
210,11420.82444,8515.656129,9423.603319,12513.11333,9438.927283,8573.040739
211,11423.06265,8516.076805,9424.545563,12516.13637,9439.878718,8573.492999
212,11425.23779,8516.485568,9425.461172,12519.07438,9440.803258,8573.932453
213,11427.35163,8516.882756,9426.350895,12521.9297,9441.701661,8574.359465
214,11429.40589,8517.268696,9427.215463,12524.70467,9442.574663,8574.774385
215,11431.40224,8517.643705,9428.055585,12527.40151,9443.422982,8575.177555
216,11433.3423,8518.008094,9428.871948,12530.02242,9444.247311,8575.569308
217,11435.22764,8518.362162,9429.665225,12532.56951,9445.048328,8575.949967
