"Country","Catm","Temp","DCatm"
"Switzerland",408.5109642053158,1.1915941599272262,1.369516278049114
"Turkmenistan",408.50232610518134,1.19162248254506,1.436614275701682
"Portugal",408.51385326704303,1.1916621618485113,1.3470749710518466
"Azerbaijan",408.52627349400564,1.1916975239299217,1.2505986224789674
"Israel",408.5132699615891,1.191690844676104,1.3516059011601151
"Norway",408.5308460086711,1.1917549998942323,1.2150807917621873
"Singapore",408.5322802227071,1.191773696223001,1.203940276079395
"Libya",408.5381903447061,1.1918229498544048,1.1580323396300276
"Qatar",408.5268646782837,1.1918909636798478,1.2460064921860392
"Ireland",408.54621083337065,1.1918518205357596,1.0957317502401287
"Syria",408.5535933833726,1.1918909961220236,1.0383864642412062
"Morocco",408.55798826308364,1.1920032600226342,1.0042484450071099
"Peru",408.5635135902978,1.1920094682554883,0.9613294713121252
"Cuba",408.57442467120484,1.1920165172157509,0.8765756863722713
"New Zealand",408.57187688385096,1.1920240809376654,0.8963660832452283
"Hong Kong",408.56896538699175,1.1920293711586851,0.9189816591685963
"Estonia",408.59084286652876,1.1921060380539537,0.7490443989185475
"Bangladesh",408.5730293682831,1.1921468133332047,0.8874139529716037
"Trinidad and Tobago",408.5863288836441,1.1921473964479168,0.7841075734919536
"Lithuania",408.5999979570136,1.192159408705602,0.6779305856611629
"Oman",408.59134425874174,1.1922451114787602,0.7451497446536117
"Ecuador",408.5999178700106,1.19224043938412,0.6785526758728398
"Croatia",408.61298001470743,1.1922714002088122,0.5770901157540417
"Georgia",408.62424739598043,1.192319738399799,0.4895687035873783
"Moldova",408.629221489027,1.192346070725123,0.45093154051161616
"Tunisia",408.6214550364582,1.192362868534193,0.5112588588010285
"Bosnia and Herzegovina",408.62503174569133,1.1923647982419392,0.48347612602503076
"Bahrain",408.62285232763804,1.1923796514170564,0.5004051480491942
"Slovenia",408.6297819625396,1.1923805181961875,0.4465779616170985
"Luxembourg",408.63668187981705,1.1924119043926755,0.39298161217938715
"Kyrgyzstan",408.6372003717122,1.192416205695296,0.3889541330552687
"Dominican Republic",408.6325487654242,1.1924278550211562,0.4250863221864974
"Latvia",408.63954589747533,1.192427744604037,0.3707348394954987
"Lebanon",408.6338813817129,1.1924417041618605,0.4147349852929246
"Angola",408.63112278510954,1.1924508338336541,0.4361628809569989
"Zimbabwe",408.6401020267144,1.1924422359626095,0.366415005527962
"Jordan",408.6355609649979,1.1924518181536288,0.4016885198016125
"Mongolia",408.6348519933458,1.192485242768812,0.40719558472421424
"Armenia",408.64564508993607,1.1924647069068144,0.3233582642020743
"Yemen",408.6408044023242,1.1924582393946894,0.3609591765510814
"North Macedonia",408.64689040626035,1.1924827554659143,0.313685045496239
"Bolivia",408.6464659325991,1.1925155842181028,0.3169822210654056
"Myanmar",408.6487493134442,1.1925360791398927,0.29924564934221026
"Sri Lanka",408.65063338405395,1.1925464584551018,0.28461079174850507
"Jamaica",408.6554593463124,1.1925460245284272,0.2471242612327804
"Kenya",408.6538885300515,1.1925557208917836,0.25932585928609503
"Curaçao",408.65879713068,1.1925595837879126,0.2211974203562447
"Guatemala",408.6553170290343,1.1925683629836166,0.24822973630767786
"Sudan",408.6548229368972,1.192573958382473,0.2520676859192105
"Tajikistan",408.6616510739416,1.192581513492551,0.19902890236210086
"Uruguay",408.6619320635157,1.1925864543726572,0.19684626526720364
"Ghana",408.66048350883545,1.1925992930583744,0.20809817448568152
