1,2,3,4,5,6,,,,,,,,,
ID,Year,fossil,landuse,total,Fex,,GCP_landuse,RCP_landuse,SSP_landuse,RCP3.0,RCP85,E_RCP85,GCP_N,GCP_G
91,1855,0.07097,0.49367925,0.56464925,0.00783604,,0.69,0.5206875,,0.49367925,0.49367925,0.070999999,0.070999999,0.07097
92,1856,0.07563,0.49893488,0.57456488,0.00742165,,0.7,0.524552,,0.49893488,0.49893488,0.075999999,0.075999999,0.07563
93,1857,0.076332,0.504232,0.580564,0.00668489,,0.7,0.5259985,,0.504232,0.504232,0.076999999,0.076999999,0.076332
94,1858,0.077502,0.50923298,0.58673498,0.00731801,,0.71,0.525344,,0.50923298,0.50923298,0.077999999,0.077999999,0.077502
95,1859,0.082151,0.51425389,0.59640489,0.00666178,,0.71,0.5229055,,0.51425389,0.51425389,0.082999999,0.082999999,0.082151
96,1860,0.090259,0.51896689,0.60922589,-0.00044288,,0.69,0.519,,0.51896689,0.51896689,0.090999999,0.090999999,0.090259
97,1861,0.09492,0.5282236,0.6231436,-0.01194759,,0.68,0.5139445,,0.5282236,0.5282236,0.094999998,0.094999998,0.09492
98,1862,0.096647,0.47371663,0.57036363,-0.00804954,,0.68,0.508056,,0.47371663,0.47371663,0.096999998,0.096999998,0.096647
99,1863,0.103145,0.47374912,0.57689412,-0.00030669,,0.68,0.5016515,,0.47374912,0.47374912,0.104,0.104,0.103145
100,1864,0.111122,0.47413825,0.58526025,-0.00098311,,0.68,0.495048,,0.47413825,0.47413825,0.112,0.112,0.111122
101,1865,0.118004,0.47479536,0.59279936,-0.0029952,,0.68,0.4885625,,0.47479536,0.47479536,0.119,0.119,0.118004
102,1866,0.121735,0.47491218,0.59664718,-0.00933409,,0.67,0.482512,,0.47491218,0.47491218,0.122,0.122,0.121735
103,1867,0.130408,0.47338353,0.60379153,-0.01627919,,0.67,0.4772135,,0.47338353,0.47338353,0.13022269,0.13022269,0.130408
104,1868,0.133939,0.47198274,0.60592174,-0.01746806,,0.67,0.472984,,0.47198274,0.47198274,0.13525196,0.13525196,0.133939
105,1869,0.14223,0.47048522,0.61271522,-0.01420371,,0.67,0.4701405,,0.47048522,0.47048522,0.14228123,0.14228123,0.14223
106,1870,0.145343,0.46933399,0.61467699,-0.01231577,,0.72,0.469,,0.46933399,0.46933399,0.14731051,0.14731051,0.145343
107,1871,0.154515,0.48732546,0.64184046,-0.02044848,,0.75,0.4810995,,0.48732546,0.48732546,0.15633978,0.15633978,0.154515
108,1872,0.170953,0.56696435,0.73791735,-0.0423676,,0.77,0.494856,,0.56696435,0.56696435,0.17336905,0.17336905,0.170953
109,1873,0.18161,0.57690133,0.75851133,-0.060576,,0.79,0.5099065,,0.57690133,0.57690133,0.18439832,0.18439832,0.18161
110,1874,0.170032,0.58328394,0.75331594,-0.06308408,,0.8,0.525888,,0.58328394,0.58328394,0.1744276,0.1744276,0.170032
111,1875,0.184443,0.5899696,0.7744126,-0.06190074,,0.81,0.5424375,,0.5899696,0.5899696,0.18845687,0.18845687,0.184443
112,1876,0.187105,0.59639187,0.78349687,-0.06006402,,0.83,0.559192,,0.59639187,0.59639187,0.19148614,0.19148614,0.187105
113,1877,0.190802,0.60262312,0.79342512,-0.05445088,,0.84,0.5757885,,0.60262312,0.60262312,0.19451541,0.19451541,0.190802
114,1878,0.192294,0.6090507,0.8013447,-0.05096957,,0.85,0.591864,,0.6090507,0.6090507,0.196,0.196,0.192294
115,1879,0.206069,0.61534752,0.82141652,-0.05348947,,0.85,0.6070555,,0.61534752,0.61534752,0.21,0.21,0.206069
116,1880,0.233049,0.62124317,0.85429217,-0.06437074,,0.86,0.621,,0.62124317,0.62124317,0.236,0.236,0.233049
117,1881,0.240881,0.64887292,0.88975392,-0.07157924,,0.87,0.6238635,,0.64887292,0.64887292,0.243,0.243,0.240881
118,1882,0.254402,0.60466403,0.85906603,-0.06837781,,0.88,0.625328,,0.60466403,0.60466403,0.256,0.256,0.254402
119,1883,0.270544,0.60851762,0.87906162,-0.06717105,,0.89,0.6256045,,0.60851762,0.60851762,0.272,0.272,0.270544
120,1884,0.273589,0.61212775,0.88571675,-0.06756708,,0.9,0.624904,,0.61212775,0.61212775,0.275,0.275,0.273589
121,1885,0.27563,0.61523611,0.89086611,-0.06415817,,0.9,0.6234375,,0.61523611,0.61523611,0.27699999,0.27699999,0.27563
122,1886,0.279948,0.61714413,0.89709213,-0.06135672,,0.91,0.621416,,0.61714413,0.61714413,0.28099999,0.28099999,0.279948
123,1887,0.293953,0.61616314,0.91011614,-0.06233754,,0.91,0.6190505,,0.61616314,0.61616314,0.295,0.295,0.293953
124,1888,0.325487,0.61473356,0.94022056,-0.06993102,,0.92,0.616552,,0.61473356,0.61473356,0.32699999,0.32699999,0.325487
125,1889,0.32537,0.6132002,0.9385702,-0.07247856,,0.93,0.6141315,,0.6132002,0.6132002,0.32699999,0.32699999,0.32537
126,1890,0.354491,0.61175412,0.96624512,-0.07327583,,0.96,0.612,,0.61175412,0.61175412,0.35599999,0.35599999,0.354491
127,1891,0.370988,0.61024855,0.98123655,-0.07842425,,0.99,0.612563,,0.61024855,0.61024855,0.37199999,0.37199999,0.370988
128,1892,0.374056,0.62319119,0.99724719,-0.08141912,,1,0.613704,,0.62319119,0.62319119,0.37399999,0.37399999,0.374056
