"1-Y","2-E","3-R1","4-R2","5-R3","6-R4","7-C","8-CCA","9-F","10-Fex","11-TF","12-TMF","13-TMS","14-TDF","15-TDS","16-TM","17-TD","18-α","19-αcheck","20-atmosGt"
1827,0.16387942799705044,1.0793581537504426,0.8368804702148934,0.25325447439471005,0.032192307464237804,280.20168540582426,5.864025241165936,0.04222258479672203,0.01009651,0.05231909479672203,0.021324861654311533,0.0010535377262133104,-0.0005350937976888292,0.002467651253263131,0.022378399380524844,0.0019325574555743017,0.16774413083262296,0.16774298092180348,594.0275730603474
1828,0.16647889624016096,1.1149627189032676,0.860939792166886,0.25821583848024104,0.03288270284821406,280.2670010523986,6.072980457782095,0.0434700956226528,0.01101459,0.054484685622652795,0.022292250825570105,0.0011187405194127806,-0.0005593679971599961,0.0026203726512269592,0.023410991344982885,0.002061004654066963,0.167906529909535,0.16790531024640215,594.166042231085
1829,0.16895485064614965,1.1511319426789,0.8852303184693596,0.2631425971657021,0.03337911808168545,280.33288397639564,6.286243918937517,0.04472814679718305,0.0123671,0.05709524679718305,0.023300620626855777,0.0011867956358076383,-0.0005846705025263364,0.0027797749100016366,0.024487416262663417,0.0021951044074753003,0.16807426522335844,0.16807297116620362,594.3057140299587
1830,0.17437483562152795,1.18783898277607,0.9097219965271658,0.2680083509991707,0.03391881643163618,280.39948814673403,6.503227361189959,0.04599966985376416,0.01128088,0.05728054985376416,0.02422881885226542,0.0012564143379418394,-0.0006079613037279498,0.0029428394812054497,0.02548523319020726,0.0023348781774775,0.16823709565428446,0.16823573143914847,594.4469148710762
1831,0.17629289031510129,1.225723574050869,0.9350715628090372,0.27365466246448006,0.035255371742435836,280.46970517106683,6.72404192112205,0.04733983796888066,0.01062241,0.05796224796888066,0.024998259241229566,0.00132634779133757,-0.0006272684761026297,0.0031066412793026663,0.026324607032567136,0.0024793728032000365,0.1683885018868925,0.168387076920366,594.5957749626617
1832,0.17887450843483627,1.2640247399757798,0.9604814018712933,0.27896416853168593,0.03531982909244152,280.5387901394712,6.951322715572834,0.048658072160505314,0.01243517,0.061093242160505316,0.025805707071239217,0.0013984960982006975,-0.0006475293496688651,0.0032756308232191624,0.027204203169439913,0.0026281014735502974,0.1685457506053846,0.16854426013962814,594.742235095679
1833,0.1815988946684202,1.3028866710644322,0.9861004097014319,0.2841820980172393,0.03605411717161834,280.60922329595473,7.18121838170957,0.050001697447343195,0.01344552,0.06344721744734319,0.026724743181318362,0.0014739291502255808,-0.0006705902506175937,0.003452314069329115,0.028198672331543943,0.002781723818711521,0.16871354569244418,0.16871198071862756,594.8915533874241
1834,0.18432093281947642,1.342340388397725,1.0119590372241334,0.2893680359152971,0.036578360081657046,280.6802458216188,7.415640283998748,0.05135622444276306,0.0144718,0.06582802444276306,0.02769235767606984,0.001552151704089112,-0.0006948701040154067,0.0036355310327771838,0.02924450938015895,0.002940660928761777,0.16888740930728846,0.1688857643709028,595.0421211418319
1835,0.18707912674529412,1.382385378961677,1.038054443382438,0.2945297807285276,0.03718460448739836,280.75215420756007,7.653954883380605,0.05272729724314657,0.01552137,0.06824866724314657,0.02870134877075364,0.0016331969678589234,-0.0007201881991777922,0.0038253594952390247,0.030334545738612564,0.0031051712960612323,0.16906652975305714,0.16906479997092805,595.1945669200273
1836,0.19142275068997683,1.4230294966271373,1.0643924271528136,0.29968457247031255,0.03777311226571213,280.82487960851597,7.896384782054113,0.05411359088808166,0.01500032,0.06911391088808166,0.029658113585741074,0.0017160766170289613,-0.0007441958071353878,0.00401948455128191,0.03137419020277003,0.0032752887441465225,0.16924321203365209,0.16924139965566953,595.3487447700539
1837,0.19391889860570372,1.4646172521596252,1.0913250553493057,0.3052822262179687,0.038807190347210196,280.9000317240741,8.142878528533638,0.05554576550776732,0.01491471,0.07046047550776732,0.03052148976356361,0.0018000920106265468,-0.0007658600619996964,0.004216269807420427,0.03232158177419016,0.003450409745420731,0.16941397800118374,0.1694120883907487,595.5080672550371
1838,0.19685555149979128,1.5067471836294217,1.1184298127596364,0.3107293895604075,0.03916504241068053,280.97507142836014,8.394902420491322,0.05697541565039472,0.01606601,0.07304142565039472,0.0314054295592444,0.0018863463613187316,-0.0007880403091622139,0.004418299266156556,0.03329177592056313,0.0036302589569943418,0.16958885937606688,0.16958688878747807,595.6671514281235
1839,0.19981991176770572,1.549515010264166,1.1458039841555288,0.31617768655050366,0.03989890610697519,281.0513955870772,8.650428973190719,0.05842914549010734,0.01686057,0.07528971549010734,0.03234997894133356,0.0019754129681112268,-0.0008117414015378608,0.004626915738454479,0.03432539190944479,0.003815174336916618,0.16977045862573037,0.16976840076861124,595.8289586446036
1840,0.20326468502462156,1.5929267499732798,1.173451229551337,0.3216384821983282,0.04050487785485857,281.1285213395778,8.910540590837,0.05989774214395244,0.01731303,0.07721077214395244,0.03330648494853406,0.0020668562013936033,-0.0008357425153646233,0.0048410988698196315,0.03537334114992766,0.004005356354455009,0.1699551435992554,0.16995299549280893,595.992465239905
1841,0.20624454263721875,1.6370867933987039,1.2014762408155661,0.32724813514655665,0.041293566323548254,281.20710473568437,9.174864923343247,0.0613936803085362,0.01783686,0.0792305403085362,0.034261050700327825,0.0021605204304493064,-0.0008596949433592847,0.005060484133834785,0.03642157113077713,0.0042007891904755,0.17014161915174125,0.17013937903332796,596.1590620396508
1842,0.20963390584264602,1.6818941106070238,1.229770290715488,0.33285375201764006,0.0418892614762781,281.28640741481644,9.443981673974163,0.0629028872328507,0.01845379,0.0813566772328507,0.035225065323442446,0.0022565301600034828,-0.0008838844670275743,0.005285363151989515,0.03748159548344593,0.004401478684961941,0.17033106318508326,0.17032872811158464,596.3271837194109
1843,0.21257008442406303,1.727437684081308,1.2584222950896404,0.33857440914772025,0.04267159018968612,281.36710597850833,9.717324599333752,0.06443822246899047,0.01913867,0.08357689246899047,0.036207097142093095,0.0023550064602333633,-0.0009085260869269839,0.005516019501195352,0.03856210360232646,0.004607493414268369,0.1705239905367109,0.17052155700119637,596.4982646744377
1844,0.21617547122203828,1.7736190332527226,1.2873266919117798,0.3442666452193782,0.043263894569559,281.44847626495346,9.995468171049108,0.06598589180922869,0.01984227,0.08582816180922868,0.037209680502745035,0.00245602136568493,-0.0009336833961113279,0.0057526219045395165,0.039665701868429964,0.0048189385084281885,0.17072084524418302,0.17071830921994485,596.6707696817014
1845,0.22044959192390123,1.820583574148264,1.3166309911961982,0.35012720868738645,0.04411331348023513,281.5314550875121,10.277845066215534,0.0675636948971023,0.01936024,0.0869239348971023,0.03816561521400036,0.002558840045000951,-0.0009576701747024455,0.005993449201522016,0.04072445525900131,0.00503577902681957,0.17091577830257768,0.17091314172682107,596.8466847855257
1846,0.22328762065566055,1.8684766185394208,1.3464797764892844,0.3563193247688291,0.045056130083790016,281.6163318498813,10.565259464871458,0.06917710536660691,0.01957365,0.08875075536660691,0.03906682356133609,0.0026631830288094864,-0.0009802837327597966,0.006237846804339529,0.04173000659014558,0.005257563071579732,0.17110839354386398,0.17110565873466677,597.0266235217484
1847,0.22766693545476424,1.9169860986659182,1.3765439656055152,0.36238563562437787,0.04557038165275168,281.7014860815486,10.858102249526835,0.07079530162977525,0.02012972,0.09092502162977525,0.03998214113776324,0.002769740622530192,-0.0010032513264540193,0.006487431582508512,0.04275188176029343,0.005484180256054493,0.17130462139687153,0.171301784659611,597.207150492883
1848,0.2303551565212566,1.9664469332301224,1.4071669932484079,0.3687848054647089,0.046667235103412426,281.78906596704667,11.155086795434991,0.07245908271269506,0.02028715,0.09274623271269507,0.040906573051862606,0.00287850115463375,-0.0010264476215408936,0.006742176198361567,0.043785074206496355,0.005715728576820673,0.17150356594117366,0.17150062444618025,597.392819850139
