,,,,,,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
23,Turkey,TUR,cumdisshare,mean,percent,0.511419441,0.514062124,0.516831644,0.519697313,0.522132531,0.525821813,0.529193536,0.534034054,0.539121165,0.542763383,0.54666233,0.551195587,0.556272387,0.561573472,0.566140366,0.570165451,0.577186013,0.582327505,0.58815123,0.593297388,0.600201112,0.604888606,0.610815573,0.616198871,0.630366494,0.643959842,0.663559501,0.669996766,0.672195849,0.675189951,0.675987932,0.68194951,0.685291216,0.687789702,0.68926538,0.691022851,0.692525423,0.701568691,0.705307117,0.709678482,0.718277205,0.72137502,0.725868151,0.738077157,0.737530143,0.744271388,0.75220734,0.761351194,0.761011278,0.752679555,0.755993655,0.739701255,0.733647915,0.731219399,0.742391593,0.76010915,0.782409463,0.800171994,0.800032924,0.775040021,0.777033071,0.80738017,0.81066749,0.840331674,0.868022394,0.924747584,0.970618131,1.130024559,1.360460927
24,Netherlands,NLD,cumdisshare,mean,percent,0.443808722,0.45214635,0.458408094,0.469665302,0.481860454,0.496941062,0.514077263,0.531268769,0.542804559,0.560453265,0.582856122,0.602948742,0.624453403,0.64413771,0.678530522,0.709736323,0.746475547,0.794080672,0.858305524,0.909747314,0.970374718,1.027877399,1.074210293,1.123066526,1.155067267,1.181515655,1.2112763,1.241253654,1.273393523,1.29827868,1.317552035,1.32472542,1.332966239,1.351786448,1.374140676,1.398727868,1.426927466,1.453941637,1.489795141,1.527732407,1.557983857,1.582932609,1.603523473,1.618959773,1.635590044,1.655653773,1.679665673,1.702822604,1.731965151,1.769325973,1.802570758,1.828856505,1.838365294,1.844628788,1.847762262,1.849838433,1.864561087,1.914461929,1.94443078,1.938364607,1.931311791,1.912604786,1.875341501,1.830910762,1.761778045,1.828442077,1.802474795,1.784776332,1.745496662
25,Czech Republic,CZE,cumdisshare,mean,percent,0.780345165,0.811800774,0.843781527,0.876245882,0.909147891,0.942436396,0.976054239,1.009938196,1.044019363,1.078222128,1.112909699,1.147157651,1.180285818,1.212745367,1.244640041,1.276116965,1.308605836,1.341573746,1.374842569,1.407016512,1.437364529,1.462209449,1.483983292,1.504600083,1.524287336,1.542718939,1.558127984,1.570427461,1.579635326,1.586577686,1.593210363,1.59676747,1.598357291,1.597976045,1.59469246,1.585937735,1.574858042,1.559727568,1.541838117,1.521495725,1.501113351,1.485584548,1.53095257,1.554612992,1.584876761,1.657779293,1.740762739,1.780321087,1.81653035,1.847793006,1.903061229,1.950513778,1.989525968,2.033764779,2.07405866,2.114133486,2.146338527,2.200332779,2.227088604,2.205166926,2.230287955,2.240880666,2.223351124,2.203604067,2.216005274,2.30482832,2.286427314,2.259150999,2.297340712
1,USA,USA,andisshare,mean,percent,0.561018107,0.618565393,0.57125226,0.642276912,0.533300971,0.654301196,0.704684544,0.75652092,0.587131149,0.685908458,0.692934994,0.641030789,0.678355105,0.689086982,0.717076153,0.773785551,0.941225451,0.973297179,1.082252289,1.307747163,1.358957292,1.296580014,1.362071398,1.742470611,1.923737968,1.628057514,1.617753571,1.55850308,1.672398361,1.971963233,1.876542702,2.102906119,1.747726653,1.547680394,1.679328164,1.777025052,1.884105392,2.062082296,2.268655398,2.521283113,2.956793887,2.777924703,2.837323238,2.813984605,2.904552957,2.810183105,2.867349109,2.821392143,2.811241834,2.904200433,3.33073285,3.474846379,3.4094094,3.342595866,3.385671321,3.547681795,3.781996197,4.258236942,4.978206528,4.278909789,4.399048626,4.038424942,3.868643787,3.834967389,3.859755112,3.870633674,3.718993121,3.617184215,3.832813774
2,China,CHN,andisshare,mean,percent,0.215380087,0.287683557,0.336951769,0.370274406,0.407922886,0.465525245,0.535206493,0.401138142,0.56100548,0.833773249,2.105634347,1.697560809,0.978236672,0.855115747,0.755172566,0.753773561,1.198089018,0.979396636,0.856220814,0.732411851,1.071390628,1.350704081,1.28719662,1.287515115,1.123502227,1.49929786,1.401210309,1.376726696,1.784216938,1.758488368,1.903211343,1.738042647,1.955194277,1.975618981,2.065438367,2.271976064,2.405198842,2.463432527,3.499601669,3.704056813,3.124218089,2.454831477,1.953779172,2.106228821,2.264353985,2.522739816,2.731423195,2.461045488,2.194034713,2.190495929,2.148748825,2.069852476,2.058745367,2.291506283,2.642666421,2.94696519,3.354524087,3.697409426,2.797301498,2.766057291,3.341031281,3.592784812,3.164447048,3.362670439,3.364876658,3.018474627,2.84738597,2.548916178,2.214355952
3,Russian Federation,RUS,andisshare,mean,percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.451950554,4.615831106,2.797929707,2.277016089,1.585814071,1.499735564,1.423053735,1.433196831,1.311972582,1.588663618,4.988924274,5.40053503,4.871181071,4.827588768,4.915821728,4.617035994,4.438618111,4.607348004,6.352862896,4.74686026,4.90717344,5.180249564,5.516016977,5.588866149,6.552100588,6.228243211,5.899055336,6.225173173,6.62397924
4,Germany,DEU,andisshare,mean,percent,0.129028381,0.140201203,0.177238965,0.17207033,0.126689112,0.183219449,0.228654622,0.267322268,0.217142708,0.181427549,0.239313291,0.266178918,0.333903865,0.29332717,0.314324478,0.38555355,0.527992541,0.429966799,0.408909862,0.446288458,0.448143771,0.479264663,0.546594017,0.790163133,0.891017221,0.799000367,0.91962383,0.907525857,0.926056455,1.048654745,1.204757312,1.301109552,1.222691448,1.297104953,1.439930254,1.498353054,1.56522296,1.49542631,1.454457169,1.380727545,1.500138709,1.510098714,1.6239832,1.484414249,1.546540887,1.629625297,1.713231252,1.662378154,1.656308372,1.666829617,1.90358023,2.254720681,2.292500082,2.311572165,2.336065996,2.117373252,2.238480375,2.291017919,2.737033365,2.120523123,2.206671997,2.337710625,2.423818246,2.394565797,2.335910293,2.293134357,2.325519334,2.28811308,2.173149811
5,Japan,JPN,andisshare,mean,percent,0.036740883,0.066967046,0.091496551,0.095150159,0.080788835,0.072576048,0.069270386,0.09488992,0.077860703,0.060208122,0.063739188,0.088915238,0.091243278,0.091484203,0.124761449,0.119184951,0.11071458,0.109936507,0.118648826,0.123785752,0.186678308,0.176963948,0.183024792,0.330958708,0.333451236,0.326380343,0.360894746,0.356687521,0.357266735,0.456324343,0.479019033,0.536150425,0.568197068,0.57682142,0.634264548,0.631202306,0.581330327,0.514713625,0.595207711,0.63264331,0.784796378,0.935450947,1.085608968,1.127112722,1.147200343,1.124200207,1.316458625,1.496708366,1.480490388,1.546426326,1.767780344,1.971961109,2.084492566,2.2021164,2.228266512,2.349516626,2.488329681,2.849136525,3.095802509,2.712164104,3.021225779,3.023844349,3.02745712,3.062793547,2.932296621,2.949676417,2.837853045,2.928279352,2.796064675
6,India,IND,andisshare,mean,percent,0.114768,0.174111658,0.15656006,0.111402024,0.102212581,0.092735567,0.116193781,0.128265741,0.149227593,0.083488172,0.110357362,0.105690216,0.106444992,0.108041537,0.117881014,0.120509731,0.125328285,0.162335262,0.165400709,0.183414615,0.159913224,0.16073768,0.176632304,0.17954553,0.196416315,0.208338563,0.175564312,0.196631023,0.225150319,0.198609426,0.242519151,0.264994089,0.25692075,0.316431557,0.324232811,0.333369777,0.32469148,0.359030073,0.40469773,0.377375857,0.54002987,0.486361884,0.600179124,0.617778898,0.606408654,0.69906095,0.763448723,0.731867787,0.601120963,0.839099873,0.643602023,0.748456421,0.737310803,0.713369802,0.685118806,0.658784061,0.612888383,0.747539503,0.702938374,0.718498364,0.717868059,0.783288301,1.043841288,1.170703833,1.321855662,1.436266876,1.587810234,1.60980487,2.025485514
7,United Kingdom,GBR,andisshare,mean,percent,0.406388232,0.73932938,0.587101906,0.617378539,0.541507447,0.600603683,0.571337615,0.64568801,0.536904154,0.411624553,0.462192211,0.551506597,0.541365973,0.352819107,0.42114327,0.478089481,0.432139734,0.373012892,0.479037775,0.496794633,0.538526839,0.618516393,0.593144221,0.76092349,0.72232666,0.674216463,0.772620245,0.811367001,0.875282796,1.166958598,1.262215275,1.092201399,1.039842667,0.962734559,0.938608284,1.08167488,0.994307848,0.848999409,0.888247074,1.089103342,1.428243375,1.422066262,1.391082482,1.281720287,1.303253301,1.276181987,1.520016513,1.420755349,1.562580896,1.571030184,1.713227941,1.7955298,1.776234699,1.91434891,1.883972506,1.902730406,1.886537236,2.097458532,2.463881128,1.939727112,2.122216715,1.929568135,1.943080626,1.792558331,1.613471726,1.521110412,1.425536889,1.420577193,1.38817725
