,,,368.5240291,Mio,Mio,Mrd,Mrd,Mio,Mio,Mrd,Mrd,,,,,,,,,,
Country,ISO,CO2_MtC,CO2_GtC,SCC_RMQ,SCC_RMQ_std,SCC_RMQ,SCC_RMQ_std,SCC_Drupp,SCC_Drupp_std,SCC_Drupp,SCC_Drupp_std,,Var_RMQ,Var_Drupp,,,,,,,
Chile,CHL,694.0384839,0.694038484,91991.11071,7251.51468,91.99111071,7.25151468,144995.9028,11637.3791,144.9959028,11.6373791,,52.58446515,135.4285923,,,,,,,
Switzerland,CHE,679.8123722,0.679812372,95405.88036,6919.544577,95.40588036,6.919544577,144795.4076,10335.87518,144.7954076,10.33587518,,47.88009715,106.8303157,,,,,,,
Turkmenistan,TKM,676.9038828,0.676903883,92069.89266,6886.676566,92.06989266,6.886676566,142627.7382,10713.6511,142.6277382,10.7136511,,47.42631412,114.7823199,,,,,,,
Portugal,PRT,632.7115049,0.632711505,84520.99873,6795.718584,84.52099873,6.795718584,132796.9227,10700.56252,132.7969227,10.70056252,,46.18179107,114.5020382,,,,,,,
Azerbaijan,AZE,622.7892805,0.622789281,87628.57719,6865.692422,87.62857719,6.865692422,132927.7484,10140.21633,132.9277484,10.14021633,,47.13773244,102.8239871,,,,,,,
Israel,ISR,620.3766919,0.620376692,81600.95772,6709.375519,81.60095772,6.709375519,129500.6577,10735.0703,129.5006577,10.7350703,,45.01571985,115.2417343,,,,,,,
Norway,NOR,585.9920513,0.585992051,80471.57612,5921.326633,80.47157612,5.921326633,123952.8635,9087.040301,123.9528635,9.087040301,,35.06210909,82.57430143,,,,,,,
Singapore,ATG,566.0936473,0.566093647,75459.32713,6319.011802,75.45932713,6.319011802,118830.2747,9891.632024,118.8302747,9.891632024,,39.92991016,97.84438409,,,,,,,
Libya,LBY,540.0334786,0.540033479,71711.10674,5956.892971,71.71110674,5.956892971,113178.4932,9347.153711,113.1784932,9.347153711,,35.48457387,87.36928249,,,,,,,
Qatar,,526.7153494,0.526715349,65706.3335,6543.68245,65.7063335,6.54368245,107937.0236,10953.50996,107.9370236,10.95350996,,42.81978001,119.9793804,,,,,,,
Ireland,IRL,526.068824,0.526068824,71833.17273,5342.8593,71.83317273,5.3428593,111083.7551,8270.422097,111.0837551,8.270422097,,28.54614549,68.39988166,,,,,,,
Syria,SYR,488.9259201,0.48892592,64741.66555,5622.127338,64.74166555,5.622127338,102475.0419,8856.649227,102.4750419,8.856649227,,31.6083158,78.44023553,,,,,,,
