,,,Mio,Mio,Mrd,Mrd,Mio,Mio,Mrd,Mrd
Country,ISO,CO2_MtC,SCC_RMQ,SCC_RMQ_std,SCC_RMQ,SCC_RMQ_std,SCC_Drupp,SCC_Drupp_std,SCC_Drupp,SCC_Drupp_std
El Salvador,SLV,59.65363566,7662.80114,637.2467853,7.66280114,0.637246785,12195.09474,1024.293748,12.19509474,1.024293748
Tanzania,TZA,58.5437226,7362.771956,664.8939024,7.362771956,0.664893902,11864.92878,1100.935814,11.86492878,1.100935814
Cameroon,CMR,53.5328751,6844.214501,629.0028003,6.844214501,0.6290028,10926.4584,1000.070746,10.9264584,1.000070746
Democratic Republic of the Congo,COD,49.68304501,7075.370198,529.8577616,7.075370198,0.529857762,10473.31807,762.3570903,10.47331807,0.76235709
Afghanistan,AFG,46.5722764,5891.269772,574.8574809,5.891269772,0.574857481,9452.523329,949.8496827,9.452523329,0.949849683
Nicaragua,NIC,45.29214624,5870.838875,470.066993,5.870838875,0.470066993,9281.508073,751.1116772,9.281508073,0.751111677
Mozambique,MOZ,44.71145309,6016.400477,489.6352249,6.016400477,0.489635225,9233.340873,765.4921642,9.233340873,0.765492164
Bahamas,BHS,44.21220358,6228.513394,627.8012444,6.228513394,0.627801244,9314.723629,894.3697965,9.314723629,0.894369796
Paraguay,PRY,44.03178858,5526.66206,493.4535544,5.52666206,0.493453554,8931.586317,809.2002054,8.931586317,0.809200205
Papua New Guinea,PNG,42.80110485,5394.153911,474.9231298,5.394153911,0.47492313,8693.356359,776.8240989,8.693356359,0.776824099
Iceland,ISL,39.71539816,5288.826404,389.3496027,5.288826404,0.389349603,8201.959826,608.1304812,8.201959826,0.608130481
New Caledonia,NCL,38.76498186,5085.947683,402.8830366,5.085947683,0.402883037,7959.029744,642.2839789,7.959029744,0.642283979
Botswana,BWA,37.1753097,4553.246558,450.7317781,4.553246558,0.450731778,7487.287098,743.9508016,7.487287098,0.743950802
Nepal,NPL,35.2222476,4203.925054,478.6401184,4.203925054,0.478640118,7018.664193,815.7857554,7.018664193,0.815785755
Cambodia,KHM,34.8837332,4133.524585,501.3095536,4.133524585,0.501309554,6926.909386,860.9017903,6.926909386,0.86090179
Equatorial Guinea,GNQ,34.24583942,3994.82468,536.8175016,3.99482468,0.536817502,6783.860306,897.6975187,6.783860306,0.897697519
Laos,LAO,32.98085048,3738.757614,712.447167,3.738757614,0.712447167,6437.067086,1250.717799,6.437067086,1.250717799
Suriname,SUR,30.20084467,4060.867554,309.4601968,4.060867554,0.309460197,6263.732724,472.4889516,6.263732724,0.472488952
Mauritius,MUS,29.41777584,3666.292497,335.3922959,3.666292497,0.335392296,5951.851314,553.2919554,5.951851314,0.553291955
Benin,BEN,28.26975763,3374.918294,376.2573135,3.374918294,0.376257314,5635.095599,638.607048,5.635095599,0.638607048
